area,crimeType,count,year,month,day,hour,festival,riskLevel
Thoothukudi Port,vandalism,5,2024,1,21,22,New Year,high
Kovilpillai Nagar,vandalism,1,2023,4,30,15,Vishu,high
Beach Road,theft,6,2023,5,26,17,New Year,high
Athimarapatti,drug abuse,9,2023,1,26,9,Diwali,low
Victoria Extension,murder,4,2024,5,25,18,Diwali,high
New Colony,robbery,6,2024,4,25,22,Diwali,moderate
Millerpuram,theft,10,2023,7,23,16,,moderate
Kovilpillai Nagar,drug abuse,7,2024,11,26,8,,moderate
Victoria Extension,robbery,3,2024,10,27,6,Christmas,high
Mattakadai,robbery,9,2024,5,31,4,Ayudha Pooja,high
Beach Road,robbery,2,2023,12,1,1,New Year,low
New Colony,assault,4,2023,4,4,4,Ayudha Pooja,high
Third Mile,vandalism,7,2024,8,14,20,Vishu,low
Beach Road,murder,10,2024,5,23,14,Diwali,moderate
Tiruchendur Road,murder,10,2023,7,20,10,Ayudha Pooja,low
Millerpuram,assault,1,2023,10,12,6,Christmas,moderate
Nazreth,drug abuse,4,2024,11,21,16,,moderate
Nazreth,drug abuse,10,2024,4,9,23,,high
Muthiahpuram,vandalism,8,2024,6,13,15,Christmas,moderate
Tiruchendur Road,harassment,1,2024,7,10,14,,high
Beach Road,robbery,9,2024,3,23,11,Vishu,moderate
Therespuram,harassment,5,2023,8,26,7,Diwali,high
Mattakadai,theft,7,2024,10,26,10,Christmas,low
Therespuram,vandalism,1,2024,2,26,4,Vishu,low
Athimarapatti,vandalism,3,2023,1,23,0,Pongal,low
Millerpuram,murder,2,2023,4,17,5,Vishu,low
Therespuram,assault,1,2024,4,17,1,Pongal,low
Victoria Extension,robbery,9,2023,8,28,10,Ayudha Pooja,high
Victoria Extension,assault,6,2024,11,11,16,New Year,moderate
Beach Road,vandalism,8,2024,10,9,16,Pongal,low
Millerpuram,theft,7,2023,11,11,2,New Year,moderate
Pearl City,theft,3,2024,1,18,11,Ayudha Pooja,high
Beach Road,robbery,2,2024,8,1,9,Diwali,moderate
Muthiahpuram,robbery,10,2023,9,11,2,Christmas,moderate
Victoria Extension,vandalism,4,2023,12,23,12,Ayudha Pooja,high
Therespuram,robbery,2,2023,8,1,18,Ayudha Pooja,low
Mattakadai,murder,4,2023,8,28,6,Diwali,moderate
Beach Road,harassment,5,2024,7,11,12,Diwali,high
New Colony,harassment,8,2024,8,13,0,Pongal,high
Nazreth,robbery,2,2024,10,12,10,Diwali,high
Athimarapatti,robbery,8,2024,11,12,11,Pongal,moderate
New Colony,robbery,7,2023,12,18,7,,low
Tiruchendur Road,theft,1,2024,5,10,7,Ayudha Pooja,low
Nazreth,drug abuse,1,2023,4,27,10,Ayudha Pooja,high
Millerpuram,murder,1,2023,6,29,19,Vishu,high
Mattakadai,theft,2,2024,2,25,14,Diwali,high
Tiruchendur Road,vandalism,7,2024,8,7,15,Pongal,low
Therespuram,murder,10,2023,11,22,6,Ayudha Pooja,high
Athimarapatti,harassment,7,2023,9,5,14,Diwali,high
New Colony,assault,4,2024,10,27,6,Diwali,high
Kovilpillai Nagar,theft,9,2024,9,5,9,Ayudha Pooja,moderate
Kovilpillai Nagar,assault,7,2024,10,31,0,Diwali,low
Tiruchendur Road,drug abuse,9,2024,11,7,10,New Year,low
Third Mile,drug abuse,9,2024,5,11,16,Diwali,high
Therespuram,assault,2,2024,2,15,6,Ayudha Pooja,moderate
Therespuram,robbery,3,2023,8,9,23,Vishu,high
Muthiahpuram,harassment,10,2024,7,5,18,Ayudha Pooja,moderate
Thoothukudi Port,drug abuse,2,2023,10,28,7,,moderate
Third Mile,assault,7,2023,10,25,17,Vishu,low
Mattakadai,drug abuse,4,2023,2,3,13,Vishu,moderate
Bryant Nagar,theft,10,2023,1,24,3,Vishu,high
Mattakadai,robbery,1,2024,5,10,0,Ayudha Pooja,high
Beach Road,drug abuse,8,2023,11,14,0,Diwali,moderate
Beach Road,theft,5,2023,3,5,4,New Year,low
Millerpuram,theft,8,2024,10,23,16,Pongal,low
Therespuram,murder,4,2024,1,1,1,,high
Victoria Extension,murder,4,2024,2,29,3,Christmas,moderate
Therespuram,assault,9,2023,7,3,22,Vishu,low
Beach Road,drug abuse,10,2024,3,20,17,Diwali,moderate
Kovilpillai Nagar,robbery,3,2023,11,24,1,Christmas,high
Nazreth,drug abuse,5,2023,10,28,10,Christmas,low
Bryant Nagar,assault,8,2023,11,21,12,Pongal,moderate
Therespuram,murder,10,2023,1,3,12,,moderate
Nazreth,drug abuse,6,2023,6,11,8,Pongal,moderate
Bryant Nagar,assault,10,2024,3,12,3,Ayudha Pooja,high
Kovilpillai Nagar,vandalism,7,2023,11,20,14,Christmas,moderate
Mattakadai,harassment,6,2024,1,29,9,Vishu,low
Nazreth,theft,10,2024,12,1,16,New Year,high
Thoothukudi Port,murder,10,2023,11,29,1,New Year,high
Victoria Extension,assault,10,2024,12,2,8,Pongal,moderate
Third Mile,murder,2,2023,10,17,2,Ayudha Pooja,high
Bryant Nagar,theft,10,2023,6,23,23,Pongal,high
Third Mile,drug abuse,7,2024,12,2,12,Ayudha Pooja,moderate
Therespuram,assault,5,2024,7,21,21,Pongal,low
Kovilpillai Nagar,assault,8,2023,10,19,14,Diwali,low
Bryant Nagar,drug abuse,5,2024,3,20,17,,moderate
Nazreth,assault,8,2023,3,24,6,Vishu,high
Mattakadai,drug abuse,10,2023,10,21,4,Pongal,low
Nazreth,assault,6,2023,11,11,15,Ayudha Pooja,low
Therespuram,assault,10,2023,3,19,6,Christmas,moderate
Thoothukudi Port,harassment,1,2024,1,1,7,Diwali,low
New Colony,harassment,1,2023,9,23,10,Pongal,high
Third Mile,harassment,1,2023,11,15,5,Vishu,moderate
Victoria Extension,drug abuse,6,2023,7,19,13,Christmas,high
Nazreth,theft,2,2024,1,14,12,Pongal,moderate
Pearl City,assault,2,2023,7,22,5,Ayudha Pooja,moderate
Tiruchendur Road,drug abuse,9,2024,10,11,0,Pongal,moderate
Kovilpillai Nagar,vandalism,3,2024,12,3,22,Christmas,high
Therespuram,theft,1,2023,4,30,19,Pongal,moderate
Third Mile,theft,2,2023,10,16,21,Vishu,high
Victoria Extension,robbery,6,2023,3,4,21,Pongal,high
Tiruchendur Road,assault,5,2024,7,21,6,New Year,high
Muthiahpuram,drug abuse,4,2023,12,24,22,Diwali,moderate
Athimarapatti,murder,7,2023,4,25,10,Diwali,moderate
Pearl City,assault,7,2023,6,10,9,,low
Muthiahpuram,theft,10,2024,12,28,17,Christmas,high
Thoothukudi Port,vandalism,3,2023,1,22,22,,high
Kovilpillai Nagar,assault,4,2023,11,27,1,Diwali,high
Third Mile,robbery,3,2024,3,6,21,Christmas,low
Kovilpillai Nagar,drug abuse,10,2023,10,14,7,Ayudha Pooja,high
Athimarapatti,drug abuse,7,2024,4,25,21,Ayudha Pooja,moderate
Thoothukudi Port,drug abuse,1,2023,4,10,6,,high
Mattakadai,theft,5,2023,5,3,5,Christmas,moderate
Tiruchendur Road,vandalism,2,2023,8,27,17,Diwali,low
Thoothukudi Port,assault,1,2024,8,10,2,Vishu,moderate
Third Mile,harassment,2,2023,7,22,6,New Year,moderate
New Colony,theft,9,2024,9,14,5,Diwali,low
Athimarapatti,harassment,3,2024,7,28,18,Diwali,moderate
Thoothukudi Port,vandalism,7,2023,5,30,19,,high
Nazreth,drug abuse,7,2023,12,9,17,,low
Victoria Extension,drug abuse,4,2023,7,15,18,Pongal,high
Pearl City,assault,9,2023,9,23,22,Ayudha Pooja,moderate
Therespuram,theft,7,2024,12,27,19,Christmas,moderate
New Colony,vandalism,1,2023,5,19,23,Vishu,high
Muthiahpuram,robbery,10,2023,9,17,0,Diwali,low
Muthiahpuram,vandalism,6,2023,1,11,8,Christmas,moderate
Tiruchendur Road,robbery,3,2024,11,16,12,,high
Nazreth,murder,1,2023,12,22,8,Ayudha Pooja,high
Victoria Extension,robbery,3,2023,5,22,18,Christmas,low
New Colony,murder,6,2024,5,26,15,Vishu,low
Muthiahpuram,assault,9,2023,12,29,4,Vishu,high
New Colony,theft,10,2023,7,2,1,Ayudha Pooja,high
Mattakadai,drug abuse,9,2023,12,28,3,Pongal,high
Nazreth,murder,7,2023,7,17,14,Diwali,moderate
Millerpuram,theft,9,2024,6,13,14,Vishu,high
Third Mile,murder,10,2024,7,17,20,New Year,high
Tiruchendur Road,harassment,9,2023,9,22,19,Diwali,high
Victoria Extension,drug abuse,10,2023,3,1,19,Christmas,low
Pearl City,vandalism,9,2023,10,25,22,New Year,low
Millerpuram,drug abuse,9,2023,3,2,0,New Year,moderate
Athimarapatti,drug abuse,3,2023,5,20,1,Ayudha Pooja,moderate
Thoothukudi Port,assault,2,2024,8,16,5,Ayudha Pooja,low
Pearl City,robbery,5,2024,1,6,15,Pongal,low
Millerpuram,harassment,9,2023,3,28,22,,high
Victoria Extension,harassment,2,2023,6,29,3,Diwali,high
Millerpuram,harassment,3,2023,5,3,2,New Year,high
Bryant Nagar,robbery,4,2023,9,5,10,Pongal,high
Therespuram,murder,4,2023,10,7,10,Christmas,moderate
Bryant Nagar,theft,1,2023,8,7,18,Pongal,moderate
Muthiahpuram,harassment,5,2024,12,13,19,Ayudha Pooja,high
Mattakadai,harassment,2,2024,8,20,20,Vishu,moderate
Pearl City,murder,7,2024,5,16,15,Ayudha Pooja,low
Muthiahpuram,vandalism,10,2024,5,5,7,Christmas,moderate
Pearl City,robbery,7,2024,6,8,22,Diwali,moderate
New Colony,robbery,5,2024,3,1,12,Vishu,moderate
Thoothukudi Port,harassment,4,2024,1,20,7,Pongal,moderate
Muthiahpuram,harassment,6,2024,9,11,0,Diwali,low
Nazreth,robbery,3,2023,6,4,19,Pongal,high
Mattakadai,drug abuse,3,2024,11,17,13,,low
Victoria Extension,theft,10,2023,12,31,22,Christmas,high
Third Mile,assault,1,2024,3,6,23,Diwali,moderate
Third Mile,drug abuse,4,2023,8,12,7,Diwali,moderate
Therespuram,murder,6,2023,11,12,21,Pongal,low
Victoria Extension,theft,5,2023,7,30,9,Christmas,low
Victoria Extension,drug abuse,4,2024,2,23,13,,high
Millerpuram,robbery,10,2023,4,25,9,Vishu,low
Thoothukudi Port,theft,7,2023,11,7,12,Christmas,high
Thoothukudi Port,drug abuse,6,2024,12,26,13,Ayudha Pooja,high
Nazreth,theft,7,2024,4,9,15,Pongal,low
Muthiahpuram,theft,8,2023,11,6,20,,moderate
Kovilpillai Nagar,drug abuse,9,2024,6,8,16,Diwali,low
Athimarapatti,vandalism,7,2023,2,16,8,Pongal,low
Third Mile,theft,2,2024,10,13,20,New Year,low
Muthiahpuram,theft,9,2024,7,23,17,Pongal,low
Therespuram,drug abuse,3,2023,8,21,12,New Year,high
Nazreth,vandalism,7,2024,9,22,21,Ayudha Pooja,moderate
Therespuram,vandalism,8,2023,7,27,11,Pongal,high
Mattakadai,harassment,10,2023,3,25,22,Pongal,high
Tiruchendur Road,vandalism,10,2023,12,20,21,Pongal,moderate
Thoothukudi Port,harassment,2,2024,2,26,0,New Year,moderate
Victoria Extension,drug abuse,9,2024,5,13,15,New Year,low
Beach Road,drug abuse,3,2024,9,12,11,Vishu,moderate
Muthiahpuram,robbery,7,2023,11,2,5,Pongal,low
Beach Road,murder,7,2023,7,6,2,Ayudha Pooja,moderate
Muthiahpuram,robbery,7,2023,9,25,5,Pongal,moderate
Mattakadai,harassment,7,2024,3,17,5,Diwali,low
Athimarapatti,vandalism,1,2023,4,9,13,Christmas,low
Pearl City,drug abuse,3,2024,3,22,9,,low
Athimarapatti,theft,6,2024,2,7,23,New Year,low
Mattakadai,robbery,6,2024,11,3,6,Diwali,low
Bryant Nagar,robbery,10,2024,1,22,12,Diwali,moderate
Nazreth,theft,2,2023,4,7,2,Vishu,high
New Colony,theft,4,2024,1,30,1,New Year,moderate
Thoothukudi Port,vandalism,4,2023,5,16,16,New Year,high
Bryant Nagar,harassment,7,2024,5,28,12,Pongal,high
Muthiahpuram,vandalism,10,2023,9,23,21,Pongal,moderate
Millerpuram,vandalism,2,2023,7,31,23,Ayudha Pooja,high
Pearl City,murder,6,2024,9,20,21,Ayudha Pooja,high
Mattakadai,drug abuse,4,2024,6,16,16,Vishu,high
Millerpuram,drug abuse,1,2023,9,8,21,Ayudha Pooja,low
Nazreth,vandalism,6,2023,5,3,16,Ayudha Pooja,low
Nazreth,vandalism,3,2024,4,11,19,Diwali,high
Athimarapatti,assault,4,2023,9,5,2,Christmas,low
Victoria Extension,murder,10,2024,6,13,12,Christmas,moderate
Thoothukudi Port,theft,7,2024,3,24,23,Diwali,high
Third Mile,murder,1,2023,1,18,20,Pongal,high
Thoothukudi Port,assault,8,2024,7,19,15,New Year,moderate
Victoria Extension,vandalism,9,2024,7,31,21,Vishu,low
Therespuram,harassment,6,2024,8,12,23,Ayudha Pooja,high
Millerpuram,assault,4,2023,10,24,6,Vishu,moderate
Nazreth,murder,4,2024,8,14,13,Christmas,high
Mattakadai,assault,5,2024,10,24,22,,low
Millerpuram,harassment,6,2024,8,10,14,,high
Third Mile,assault,2,2024,6,16,10,Diwali,high
Mattakadai,murder,4,2023,1,14,23,Pongal,moderate
Bryant Nagar,assault,7,2024,3,17,18,Pongal,high
Victoria Extension,murder,1,2024,2,29,15,Christmas,high
Thoothukudi Port,murder,7,2024,6,21,8,Ayudha Pooja,low
Beach Road,drug abuse,7,2023,10,23,17,Ayudha Pooja,low
Beach Road,drug abuse,4,2023,10,31,20,,moderate
Tiruchendur Road,vandalism,8,2024,7,25,22,Diwali,low
Pearl City,harassment,9,2023,7,21,2,,moderate
Victoria Extension,assault,6,2024,10,9,17,Ayudha Pooja,moderate
Athimarapatti,murder,7,2023,7,29,22,Vishu,high
New Colony,vandalism,3,2023,11,21,0,New Year,high
Third Mile,robbery,5,2023,6,11,23,Pongal,low
Tiruchendur Road,robbery,2,2023,2,26,16,New Year,moderate
Tiruchendur Road,assault,6,2024,2,4,3,Christmas,low
Mattakadai,vandalism,10,2023,4,14,4,New Year,moderate
Muthiahpuram,drug abuse,3,2024,11,29,17,Ayudha Pooja,high
Thoothukudi Port,vandalism,9,2024,3,13,17,Ayudha Pooja,moderate
Bryant Nagar,theft,6,2024,6,19,7,Christmas,moderate
Tiruchendur Road,harassment,10,2024,9,28,20,Diwali,moderate
Therespuram,harassment,9,2024,9,17,18,Pongal,low
Therespuram,robbery,7,2023,10,31,15,,high
Nazreth,vandalism,10,2023,12,16,4,Christmas,high
Bryant Nagar,harassment,8,2024,6,13,0,Christmas,low
Nazreth,harassment,7,2024,12,12,0,New Year,moderate
Victoria Extension,murder,8,2023,5,10,16,,low
Thoothukudi Port,harassment,9,2023,7,4,11,Pongal,moderate
Therespuram,robbery,10,2024,3,19,16,Diwali,moderate
Mattakadai,robbery,4,2024,9,19,20,Diwali,high
Beach Road,vandalism,8,2024,11,26,8,,moderate
Victoria Extension,drug abuse,10,2023,4,22,20,Pongal,high
Third Mile,murder,1,2023,11,28,22,Ayudha Pooja,moderate
Nazreth,drug abuse,4,2024,11,9,0,New Year,low
Pearl City,drug abuse,1,2023,1,31,14,Vishu,low
Kovilpillai Nagar,vandalism,8,2023,4,12,19,Diwali,low
Victoria Extension,vandalism,5,2024,11,3,17,Diwali,high
Thoothukudi Port,drug abuse,3,2023,11,27,20,Pongal,high
Pearl City,drug abuse,4,2023,9,14,10,Ayudha Pooja,low
Muthiahpuram,assault,6,2023,4,25,2,New Year,low
Nazreth,assault,6,2024,5,1,17,Christmas,moderate
Muthiahpuram,theft,7,2023,11,19,18,Ayudha Pooja,high
Thoothukudi Port,robbery,4,2024,3,31,17,Christmas,moderate
Tiruchendur Road,assault,10,2024,10,2,17,,moderate
Beach Road,theft,8,2024,8,31,22,Ayudha Pooja,low
